,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Dalbergia baronii,"Palissandre rouge des marais, hitsika, sovodrano",Tree,20.0,10-12,M,LM,N,Mwe,0,0,4,Dalbergia retusa
1,Dalbergia cochinchinensis,"Siam Rosewood, Thailand Rosewood",Tree,25.0,10-12,S,LMH,N,M,0,0,4,Dalbergia retusa
2,Dalbergia greveana,Madagascar Rosewood,Tree,15.0,10-12,S,LMH,N,DM,0,2,4,Dalbergia retusa
3,Dalbergia hupeana,,Tree,15.0,-,,LMH,SN,M,1,1,3,Dalbergia retusa
4,Dalbergia latifolia,"Black Rosewood, East Indian Rosewood, Kala sheeshan, Satisal",Tree,30.0,10-12,M,LMH,N,M,0,2,4,Dalbergia retusa
5,Dalbergia louvelii,"Andramena, Volombodipona, Violet rosewood",Tree,15.0,10-12,M,LMH,N,M,0,2,4,Dalbergia retusa
6,Dalbergia melanoxylon,"African Blackwood, Grenadilla, Mpingo",Tree,6.0,10-12,S,LMH,N,DM,0,2,5,Dalbergia retusa
7,Dalbergia monticola,"Hazovola, tsiandalana, voamboana",Tree,12.0,10-12,S,LMH,N,M,0,0,4,Dalbergia retusa
8,Dalbergia nigra,Brazilian Rosewood,Tree,20.0,10-12,M,LMH,N,DM,0,0,4,Dalbergia retusa
9,Dalbergia oliveri,Redwood,Tree,23.0,10-12,S,LMH,SN,M,0,0,4,Dalbergia retusa
