,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Lepidium apetalum,,Annual/Biennial,0.3,-,,LMH,SN,M,2,2,,Lepidium perfoliatum
1,Lepidium campestre,"Pepperwort, Field pepperweed",Annual/Biennial,0.6,0-0,,LMH,SN,DM,2,0,0.0,Lepidium perfoliatum
2,Lepidium chilense,,,0.0,-,,LMH,SN,M,1,0,,Lepidium perfoliatum
3,Lepidium densiflorum,Common Pepperweed,Annual/Biennial,0.5,0-0,,LMH,SN,DM,2,1,0.0,Lepidium perfoliatum
4,Lepidium diffusum,,,0.0,-,,LMH,SN,M,2,0,,Lepidium perfoliatum
5,Lepidium fremontii,Desert Pepperweed,Perennial,0.5,-,,LMH,SN,DM,2,0,,Lepidium perfoliatum
6,Lepidium graminifolium,Grassleaf pepperweed,Perennial,0.1,0-0,,LMH,SN,DM,2,0,,Lepidium perfoliatum
7,Lepidium hyssopifolium,Hyssopleaf pepperweed,Annual/Biennial,0.0,0-0,,LMH,SN,M,1,0,,Lepidium perfoliatum
8,Lepidium iberis,,Annual,0.3,-,,LMH,SN,M,1,1,,Lepidium perfoliatum
9,Lepidium incisum,,Annual,0.2,-,,LMH,SN,M,1,0,,Lepidium perfoliatum
10,Lepidium intermedium,,Annual/Biennial,0.3,-,,LMH,SN,M,2,0,,Lepidium perfoliatum
11,Lepidium latifolium,"Dittander, Broadleaved pepperweed",Perennial,1.2,5-9,,LMH,SN,M,3,1,1.0,Lepidium perfoliatum
12,Lepidium meyenii,Maca,Perennial,0.1,0-0,,LMH,SN,M,5,3,0.0,Lepidium perfoliatum
13,Lepidium nitidum,"Shining Pepperweed, Howell's pepperweed",Annual,0.3,0-0,,LMH,SN,M,2,0,2.0,Lepidium perfoliatum
14,Lepidium oleraceum,,Perennial,0.0,-,,LMH,SN,M,2,0,,Lepidium perfoliatum
15,Lepidium rotundum,Veined Peppercress,Perennial,0.2,-,,LMH,SN,M,2,0,,Lepidium perfoliatum
16,Lepidium ruderale,"Narrow Leaved Peppergrass, Rroadside pepperweed",Annual/Biennial,0.3,0-0,,LMH,SN,M,2,1,,Lepidium perfoliatum
17,Lepidium sativum,"Cress, Gardencress pepperweed",Annual,0.5,6-9,,LMH,SN,M,3,1,2.0,Lepidium perfoliatum
18,Lepidium spp.,Perennial Lepidium,Perennial,1.2,3-10,F,LMH,SN,M,5,3,2.0,Lepidium perfoliatum
