,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Aquilegia brevistyla,Smallflower columbine,Perennial,0.9,0-0,,LM,SN,M,2,1,1.0,Aquilegia jonesii
1,Aquilegia buergeriana,,Perennial,0.6,6-9,,LMH,SN,M,2,0,1.0,Aquilegia jonesii
2,Aquilegia canadensis,"Wild Columbine, Red columbine, Meeting Houses, Common Columbine",Perennial,0.6,4-10,M,LM,SN,M,2,2,2.0,Aquilegia jonesii
3,Aquilegia coerulea,"Rocky Mountain Columbine, Colorado blue columbine, Dailey's columbine, White Colorado columbine",Perennial,0.6,3-7,,LM,SN,M,2,1,1.0,Aquilegia jonesii
4,Aquilegia flabellata,"Fan Columbine, Dwarf Columbine",Perennial,0.3,3-9,S,LM,SN,M,2,0,1.0,Aquilegia jonesii
5,Aquilegia flavescens,"Columbine, Yellow columbine",Perennial,0.8,4-8,,LM,SN,M,2,1,1.0,Aquilegia jonesii
6,Aquilegia formosa,Western Columbine,Perennial,0.8,3-7,,LM,SN,M,2,2,1.0,Aquilegia jonesii
7,Aquilegia formosa truncata,Columbine,Perennial,0.9,3-7,,LM,SN,M,2,2,1.0,Aquilegia jonesii
8,Aquilegia karelinii,,Perennial,0.8,-,,LM,SN,M,2,0,1.0,Aquilegia jonesii
9,Aquilegia pubescens,"Columbine, Sierra columbine",Perennial,0.5,4-8,,LM,SN,M,2,1,1.0,Aquilegia jonesii
10,Aquilegia shockleyi,,Perennial,0.8,6-9,,LM,SN,M,2,1,1.0,Aquilegia jonesii
11,Aquilegia vulgaris,"Columbine, European columbine, Granny's Bonnet, European Crowfoot",Perennial,1.0,3-9,M,LM,SN,M,2,1,1.0,Aquilegia jonesii
