,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Crataegus acclivis,,Tree,8.0,4-8,,LMH,SN,MWe,4,2,,Crataegus lobulata
1,Crataegus aestivalis,"Eastern Mayhaw, May hawthorn, Mayhaw, Apple Hawthorn",Shrub,9.0,6-11,M,LMH,SN,MWe,3,2,5.0,Crataegus lobulata
2,Crataegus altaica,Altai Mountain Thorn,Tree,6.0,4-8,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
3,Crataegus anomala,Arnold hawthorn,Shrub,5.0,4-8,,LMH,SN,MWe,3,2,3.0,Crataegus lobulata
4,Crataegus apiifolia,Parsley-Leaved Hawthorn,Shrub,4.0,6-9,,LMH,SN,MWe,2,2,2.0,Crataegus lobulata
5,Crataegus aprica,Sunny Hawthorn,Tree,6.0,5-9,,LMH,SN,DMWe,3,2,2.0,Crataegus lobulata
6,Crataegus armena,,Tree,0.0,-,,LMH,SN,MWe,2,2,2.0,Crataegus lobulata
7,Crataegus arnoldiana,Arnold Hawthorn,Tree,7.0,5-9,,LMH,SN,DMWe,5,2,2.0,Crataegus lobulata
8,Crataegus atrosanguinea,,Tree,0.0,-,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
9,Crataegus azarolus,Azarole,Tree,10.0,5-9,M,LMH,SN,MWe,4,2,2.0,Crataegus lobulata
10,Crataegus baroussana,Tejocote,Shrub,2.0,0-0,,LMH,SN,MWe,4,2,2.0,Crataegus lobulata
11,Crataegus caesa,,Shrub,3.0,6-9,,LMH,SN,MWe,4,2,2.0,Crataegus lobulata
12,Crataegus calpodendron,Pear Hawthorn,Tree,6.0,-,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
13,Crataegus canadensis,Canadian hawthorn,Tree,9.0,0-0,,LMH,SN,MWe,2,2,2.0,Crataegus lobulata
14,Crataegus canbyi,"Cockspur hawthorn, Dwarf Hawthorn, Cockspur Hawthorn",Shrub,5.0,4-7,M,LMH,SN,DMWe,2,2,2.0,Crataegus lobulata
15,Crataegus champlainensis,Quebec hawthorn,Tree,6.0,5-9,,LMH,SN,MWe,4,2,2.0,Crataegus lobulata
16,Crataegus chlorosarca,,Tree,6.0,-,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
17,Crataegus chrysocarpa,"Fireberry Hawthorn, Red haw, Piper's hawthorn,",Tree,6.0,4-8,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
18,Crataegus coccinoides,Kansas Hawthorn,Tree,6.0,4-8,,LMH,SN,DMWe,3,2,2.0,Crataegus lobulata
19,Crataegus columbiana,Columbian Hawthorn,Tree,5.0,4-8,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
20,Crataegus crus-galli,"Cockspur Thorn, Cockspur hawthorn, Dwarf Hawthorn",Shrub,10.0,4-7,M,LMH,SN,DMWe,2,2,3.0,Crataegus lobulata
21,Crataegus cuneata,"Sanzashi, Chinese hawthorn",Shrub,15.0,5-9,,LMH,SN,MWe,3,3,3.0,Crataegus lobulata
22,Crataegus dilatata,Broadleaf hawthorn,Tree,6.0,0-0,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
23,Crataegus dispessa,Mink hawthorn,Tree,8.0,0-0,,LMH,SN,MWe,3,2,2.0,Crataegus lobulata
24,Crataegus douglasii,Black Hawthorn,Tree,9.0,4-8,,LMH,SN,MWe,4,2,2.0,Crataegus lobulata
25,Crataegus durobrivensis,Caughuawaga Hawthorn,Shrub,5.0,4-8,,LMH,SN,MWe,4,2,2.0,Crataegus lobulata
26,Crataegus ellwangeriana,Scarlet Hawthorn,Tree,6.0,5-7,,LMH,SN,MWe,5,2,2.0,Crataegus lobulata
27,Crataegus elongata,,Shrub,4.0,0-0,,LMH,SN,MWe,4,2,2.0,Crataegus lobulata
28,Crataegus festiva,,Shrub,3.0,6-9,,LMH,SN,MWe,5,2,2.0,Crataegus lobulata
29,Crataegus flabellata,Fanleaf hawthorn,Shrub,6.0,4-8,,LMH,SN,MWe,3,2,3.0,Crataegus lobulata
