,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Centranthus macrosiphon,,Annual,0.6,-,,LMH,N,DM,2,0,,Valeriana jatamansi
1,Centranthus ruber,"Red Valerian, Fox's Brush, Jupiter's Beard",Perennial,0.9,5-8,M,LMH,N,DM,2,1,1.0,Valeriana jatamansi
2,Fedia cornucopiae,,Annual,0.2,-,,LMH,N,DM,2,0,,Valeriana jatamansi
3,Nardostachys grandiflora,Spikenard,Perennial,0.3,-,,LMH,SN,M,1,3,3.0,Valeriana jatamansi
4,Patrinia scabiosifolia,"Eastern Valerian, Scabious Patrinia",Perennial,0.6,5-8,F,LM,N,M,1,3,,Valeriana jatamansi
5,Patrinia triloba,,Perennial,0.5,-,,LMH,SN,M,1,0,2.0,Valeriana jatamansi
6,Patrinia villosa,,Perennial,1.0,-,,LMH,SN,M,1,1,,Valeriana jatamansi
7,Valeriana amurensis,,Perennial,0.0,-,,LMH,N,M,1,0,,Valeriana jatamansi
8,Valeriana capitata,"Valerian, Captiate valerian",Perennial,0.6,0-0,,LMH,N,MWe,1,1,1.0,Valeriana jatamansi
9,Valeriana celtica,,Perennial,0.3,-,,LMH,N,M,1,1,2.0,Valeriana jatamansi
10,Valeriana ciliata,Tobacco Root,Perennial,0.8,-,,LMH,N,M,1,0,,Valeriana jatamansi
11,Valeriana dioica,"Marsh Valerian, Woods valerian",Perennial,0.3,0-0,,LMH,N,MWe,1,1,,Valeriana jatamansi
12,Valeriana fauriei,,Perennial,1.0,-,,LMH,N,M,0,1,,Valeriana jatamansi
13,Valeriana hardwickii,,Perennial,1.5,-,,LMH,N,M,0,3,2.0,Valeriana jatamansi
14,Valeriana obovata,Tobacco Root,Perennial,1.2,-,,LMH,N,M,2,1,,Valeriana jatamansi
15,Valeriana occidentalis,western valerian,Perennial,1.0,-,,LMH,N,M,1,1,,Valeriana jatamansi
16,Valeriana officinalis,"Valerian, Garden valerian",Perennial,1.5,4-8,,LMH,N,M,2,3,3.0,Valeriana jatamansi
17,Valeriana phu,,Perennial,0.4,-,,LMH,SN,DM,2,1,3.0,Valeriana jatamansi
18,Valeriana sambucifolia,,Perennial,1.5,4-8,,LMH,SN,M,2,3,2.0,Valeriana jatamansi
19,Valeriana sitchensis,"American Valerian, Sitka valerian",Perennial,1.2,0-0,,LMH,N,M,1,3,1.0,Valeriana jatamansi
20,Valeriana toluccana,,Perennial,0.0,-,,LMH,N,M,2,2,3.0,Valeriana jatamansi
21,Valeriana uliginosa,Mountain Valerian,Perennial,1.0,-,,LMH,N,MWe,0,2,,Valeriana jatamansi
22,Valerianella carinata,"Keeled-Fruited Cornsalad, European cornsalad",Annual,0.3,0-0,,LMH,N,DM,2,0,,Valeriana jatamansi
23,Valerianella chenopodifolia,,Annual,0.6,-,,LMH,N,M,2,0,,Valeriana jatamansi
24,Valerianella eriocarpa,Italian Corn Salad,Annual,0.4,-,,LMH,N,DM,3,0,,Valeriana jatamansi
25,Valerianella locusta,"Corn Salad, Lewiston cornsalad",Annual,0.3,4-8,,LMH,N,DM,4,0,,Valeriana jatamansi
