,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Viburnum betulifolium,,Shrub,3.0,-,,LMH,SN,M,2,0,,Viburnum erosum
1,Viburnum cassinoides,"Withe Rod, Appalachian Tea, Witherod Viburnum, Witherod, Wild Raisin Viburnum",Shrub,2.5,2-8,M,LMH,SN,M,3,1,0.0,Viburnum erosum
2,Viburnum cordifolium,Viburnum,Tree,6.0,8-9,M,LMH,SN,M,1,0,2.0,Viburnum erosum
3,Viburnum corylifolium,,Shrub,3.0,5-9,,LMH,SN,M,1,0,,Viburnum erosum
4,Viburnum cotinifolium,,Shrub,3.5,5-9,,LMH,SN,M,3,0,3.0,Viburnum erosum
5,Viburnum cylindricum,,Shrub,5.0,5-9,,LMH,SN,M,1,1,3.0,Viburnum erosum
6,Viburnum dentatum,"Arrow Wood, Southern arrowwood, Southern Arrowwood Viburnum",Shrub,4.5,2-8,F,LMH,SN,M,2,1,,Viburnum erosum
7,Viburnum dilatatum,"Linden Viburnum, Linden arrowwood",Shrub,3.0,5-8,M,LMH,SN,M,3,1,2.0,Viburnum erosum
8,Viburnum edule,"Mooseberry, Squashberry",Shrub,2.5,4-8,,LMH,SN,M,3,1,3.0,Viburnum erosum
9,Viburnum erubescens,,Shrub,5.0,5-9,,LMH,SN,M,2,1,2.0,Viburnum erosum
10,Viburnum erubescens gracilipes,,Shrub,5.0,5-9,,LMH,SN,M,2,0,2.0,Viburnum erosum
11,Viburnum farreri,"Culver's root, Fragrant Viburnum",Shrub,3.0,5-8,M,LMH,SN,M,3,0,0.0,Viburnum erosum
12,Viburnum foetens,,Shrub,3.0,5-9,,LMH,SN,M,3,0,3.0,Viburnum erosum
13,Viburnum fordiae,,Shrub,0.0,-,,LMH,SN,M,1,0,,Viburnum erosum
14,Viburnum furcatum,,Shrub,3.5,5-9,,LMH,S,M,1,0,,Viburnum erosum
15,Viburnum grandiflorum,"Cranberry bush,",Shrub,2.0,6-9,,LMH,SN,M,3,0,0.0,Viburnum erosum
16,Viburnum japonicum,,Shrub,1.8,6-9,S,LMH,SN,M,2,0,,Viburnum erosum
17,Viburnum lantana,"Wayfaring Tree, Wayfaring Tree Viburnum",Shrub,5.0,4-7,M,LMH,SN,DM,1,0,1.0,Viburnum erosum
18,Viburnum lantanoides,Hobbleberry,Shrub,3.0,3-7,,LMH,FSN,M,3,1,0.0,Viburnum erosum
19,Viburnum lentago,"Sheepberry, Nannyberry, Nannyberry Viburnum",Tree,9.0,2-8,M,LMH,SN,M,4,1,3.0,Viburnum erosum
20,Viburnum mongolicum,,Shrub,2.0,4-8,,LMH,SN,M,1,0,,Viburnum erosum
21,Viburnum mullaha,,Shrub,3.0,8-11,,LMH,SN,M,2,1,2.0,Viburnum erosum
22,Viburnum nudum,"Smooth Withe Rod, Possumhaw, Withe-rod, Swamp Haw, Smooth Witherod, Possum Haw Viburnum, Possum Haw",Shrub,4.5,5-9,M,LMH,SN,M,3,1,,Viburnum erosum
23,Viburnum odoratissimum,Sweet Viburnum,Shrub,5.0,8-10,S,LMH,SN,M,1,0,,Viburnum erosum
24,Viburnum opulus,"Guelder Rose, Cramp Bark, European cranberrybush, American cranberrybush, Crampbark, European Highb",Shrub,5.0,3-8,M,LMH,SN,MWe,3,3,3.0,Viburnum erosum
25,Viburnum phlebotrichum,,Shrub,2.5,5-9,,LMH,SN,M,1,0,,Viburnum erosum
26,Viburnum plicatum,"Japanese Snowball, Japanese Snowball Viburnum, Doublefile Viburnum",Shrub,4.0,5-8,M,LMH,SN,M,1,0,,Viburnum erosum
27,Viburnum prunifolium,"Stagberry, Black Haw, Hybrid blackhaw, Smooth Blackhaw, Blackhaw Viburnum",Tree,7.5,3-9,S,LMH,SN,DM,2,3,3.0,Viburnum erosum
28,Viburnum rufidulum,"Southern Black Haw, Rusty blackhaw",Shrub,12.0,4-8,,LMH,SN,M,3,1,1.0,Viburnum erosum
