,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Euonymus alatus,"Winged Spindle Tree, Burningbush, Corky spindletree",Shrub,2.0,4-8,M,LMH,SN,DM,1,2,2.0,Euonymus fimbriatus
1,Euonymus alatus apterus,Winged Spindle Tree,Shrub,2.0,3-7,,LMH,SN,DM,1,2,,Euonymus fimbriatus
2,Euonymus americanus,"Strawberry Bush, Bursting-heart",Shrub,2.5,5-9,,LMH,SN,DM,0,2,,Euonymus fimbriatus
3,Euonymus atropurpureus,"Wahoo- Indian Arrow Wood - Burning Bush, Eastern wahoo",Shrub,2.5,4-8,M,LMH,SN,DM,1,2,2.0,Euonymus fimbriatus
4,Euonymus crenulatus,,Shrub,0.0,-,,LMH,SN,DM,0,1,1.0,Euonymus fimbriatus
5,Euonymus europaeus,"Spindle Tree, European spindletree",Shrub,6.0,3-7,,LMH,SN,DM,1,2,3.0,Euonymus fimbriatus
6,Euonymus fortunei,"Winter Creeper, Wintercreeper Euonymus",Climber,4.5,5-9,M,LMH,FSN,DM,0,1,3.0,Euonymus fimbriatus
7,Euonymus hamiltonianus,Hamilton's spindletree,Shrub,9.0,4-8,,LMH,SN,DM,1,0,3.0,Euonymus fimbriatus
8,Euonymus hamiltonianus maackii,,Shrub,6.0,4-8,,LMH,SN,DM,1,0,2.0,Euonymus fimbriatus
9,Euonymus hamiltonianus sieboldianus,,Shrub,6.0,4-8,,LMH,SN,DM,1,0,3.0,Euonymus fimbriatus
10,Euonymus japonicus,"Japanese Spindle Tree, Box-leaf Euonymus, Evergreen Euonymus, Japanese Euonymus",Shrub,4.5,6-9,M,LMH,SN,DM,1,1,3.0,Euonymus fimbriatus
11,Euonymus latifolius,,Shrub,3.0,4-8,,LMH,SN,DM,0,0,1.0,Euonymus fimbriatus
12,Euonymus lucidus,,Tree,6.0,8-11,,LMH,SN,DM,0,1,3.0,Euonymus fimbriatus
13,Euonymus macropterus,,Shrub,4.0,4-8,,LMH,SN,DM,1,0,,Euonymus fimbriatus
14,Euonymus miyakei,,Shrub,0.0,-,,LMH,SN,DM,1,0,,Euonymus fimbriatus
15,Euonymus oxyphyllus,,Tree,2.5,4-8,S,LMH,SN,DM,1,1,2.0,Euonymus fimbriatus
16,Euonymus sachalinensis,Euonymus,Shrub,3.5,5-8,M,LMH,SN,DM,1,0,1.0,Euonymus fimbriatus
17,Euonymus tanakae,,Tree,4.0,-,,LMH,SN,DM,1,0,,Euonymus fimbriatus
18,Euonymus thunbergianus,,Shrub,3.0,-,,LMH,SN,DM,1,0,,Euonymus fimbriatus
19,Euonymus tingens,,Tree,4.5,8-11,,LMH,SN,DM,0,1,3.0,Euonymus fimbriatus
