,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Asarum arifolium,,Perennial,0.2,6-9,,LMH,FS,M,0,1,2.0,Asarum caudatum
1,Asarum blumei,,Perennial,0.2,6-9,,LMH,FS,M,0,1,,Asarum caudatum
2,Asarum canadense,"Snake Root, Canadian wildginger, Canada Wild Ginger, Wild Ginger",Perennial,0.1,3-9,S,LMH,FS,M,3,3,3.0,Asarum caudatum
3,Asarum dilatatum,,Perennial,0.0,-,,LMH,FS,M,2,0,,Asarum caudatum
4,Asarum europaeum,"Asarabacca, European Wild Ginger",Perennial,0.1,4-8,S,LMH,FS,M,0,2,3.0,Asarum caudatum
5,Asarum forbesii,Du Heng,Perennial,0.2,-,,LMH,FS,M,0,1,,Asarum caudatum
6,Asarum heterotropoides,,Perennial,0.2,-,,LMH,FS,M,0,2,,Asarum caudatum
7,Asarum maximum,,Perennial,0.5,6-9,,LMH,FS,M,0,1,,Asarum caudatum
8,Asarum nipponicum,,Perennial,0.1,-,,LMH,FS,M,1,0,,Asarum caudatum
9,Asarum reflexum,,Perennial,0.2,5-9,,LMH,FS,M,2,0,,Asarum caudatum
10,Asarum shuttleworthii,"Asarabacca, Mottled Wild Ginger",Perennial,0.1,5-9,F,LMH,FS,M,2,0,2.0,Asarum caudatum
11,Asarum sieboldii,Wild Ginger,Perennial,0.2,-,,LMH,FS,M,0,2,,Asarum caudatum
12,Asarum splendens,Chinese Wild Ginger,Perennial,0.2,5-9,S,LM,FS,DM,3,0,3.0,Asarum caudatum
