,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Oxalis acetosella,Wood Sorrel,Perennial,0.1,3-7,F,LMH,FSN,M,3,2,3.0,Oxalis barrelieri
1,Oxalis adenophylla,Sauer Klee,Perennial,0.2,4-8,,LMH,SN,M,0,0,,Oxalis barrelieri
2,Oxalis articulata,Pink Sorrel,Perennial,0.2,7-10,,LM,N,M,3,0,,Oxalis barrelieri
3,Oxalis bifida,,Bulb,0.3,8-11,,LM,N,DM,2,0,,Oxalis barrelieri
4,Oxalis corniculata,"Yellow Sorrel, Creeping woodsorrel",Annual/Perennial,0.1,4-8,,LMH,N,DM,2,2,1.0,Oxalis barrelieri
5,Oxalis corymbosa,"Lilac Oxalis, Pink woodsorrel",Perennial,0.2,7-10,,LMH,N,DM,2,0,,Oxalis barrelieri
6,Oxalis deppei,Iron Cross Plant,Bulb,0.3,7-10,,LM,N,M,4,0,,Oxalis barrelieri
7,Oxalis enneaphylla,Scurvy Grass,Perennial,0.1,5-9,,LM,N,DM,2,0,,Oxalis barrelieri
8,Oxalis europaea,,Annual/Perennial,0.4,-,,LM,N,DM,2,0,,Oxalis barrelieri
9,Oxalis exilis,"Least Yellow Sorrel, Shady woodsorrel",Annual/Perennial,0.1,4-8,,LMH,N,DM,2,2,,Oxalis barrelieri
10,Oxalis frutescens,Shrubby woodsorrel,Perennial,0.0,0-0,,LM,N,DM,2,0,,Oxalis barrelieri
11,Oxalis grandis,Great Yellow Woodsorrel,Annual/Perennial,0.2,5-7,F,LMH,FS,M,2,1,1.0,Oxalis barrelieri
12,Oxalis lasiandra,,Perennial,0.3,8-11,,LM,SN,M,0,0,,Oxalis barrelieri
13,Oxalis magellanica,,Perennial,0.0,5-9,,LM,SN,DM,2,0,,Oxalis barrelieri
14,Oxalis montana,Mountain Wood Sorrel,Perennial,0.1,0-0,,LMH,S,M,2,0,1.0,Oxalis barrelieri
15,Oxalis oregana,Redwood Sorrel,Perennial,0.2,6-9,,LMH,FSN,M,3,1,3.0,Oxalis barrelieri
16,Oxalis pes-caprae,Bermuda Buttercup,Perennial,0.2,8-11,,LM,N,DM,2,0,,Oxalis barrelieri
17,Oxalis stricta,"Yellow Wood Sorrel, Common yellow oxalis, Common Yellow Wood Sorrel, Oxalis",Annual,0.3,0-0,F,LM,N,DM,2,1,1.0,Oxalis barrelieri
18,Oxalis tetraphylla,,Perennial,0.1,7-10,,LM,N,DM,3,0,3.0,Oxalis barrelieri
19,Oxalis triangularis,Oxalis,Perennial,0.2,10-11,M,LM,SN,DM,3,0,,Oxalis barrelieri
20,Oxalis tuberosa,Oca,Perennial,0.5,6-9,,LM,N,M,5,0,,Oxalis barrelieri
