,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Lilium amabile,,Bulb,1.0,4-8,,LM,SN,M,2,0,,Lilium superbum
1,Lilium auratum,Golden-Rayed Lily,Bulb,1.8,5-9,,LM,SN,M,3,0,,Lilium superbum
2,Lilium brownii,Hong Kong Lily,Bulb,1.2,4-8,,LM,SN,M,3,2,,Lilium superbum
3,Lilium bulbiferum,"Fire Lily, Orange lily",Bulb,1.2,6-9,,LMH,SN,M,3,0,,Lilium superbum
4,Lilium callosum,,Bulb,1.0,5-9,,LM,SN,M,2,0,,Lilium superbum
5,Lilium canadense,"Meadow Lily, Canada lily",Bulb,1.5,4-8,,LM,SN,M,3,1,0.0,Lilium superbum
6,Lilium canadense editorum,Meadow Lily,Bulb,1.5,4-8,,LM,SN,M,3,0,,Lilium superbum
7,Lilium canadense flavum,Meadow Lily,Bulb,1.5,4-8,,LM,SN,M,3,0,,Lilium superbum
8,Lilium candidum,Madonna Lily,Bulb,1.0,5-9,,LMH,SN,M,3,2,2.0,Lilium superbum
9,Lilium cernuum,,Bulb,0.6,3-7,,LM,SN,M,2,0,,Lilium superbum
10,Lilium columbianum,"Columbia Tiger Lily, Columbia lily, Oregon Lily, Tiger Lily",Bulb,1.5,5-10,M,LM,SN,M,3,0,,Lilium superbum
11,Lilium concolor,Morning Star Lily,Bulb,0.6,4-8,,LMH,N,M,2,2,,Lilium superbum
12,Lilium dauricum,,Bulb,1.0,4-8,,LM,N,M,2,0,,Lilium superbum
13,Lilium davidii,,Bulb,1.0,4-8,,LM,SN,M,2,0,,Lilium superbum
14,Lilium distichum,,Bulb,1.0,4-8,,LM,SN,M,2,0,,Lilium superbum
15,Lilium formosanum,Formosa lily,Bulb,1.0,4-8,,LM,SN,M,2,0,,Lilium superbum
16,Lilium formosanum pricei,,Bulb,0.1,4-8,,LM,SN,M,2,0,,Lilium superbum
17,Lilium hansonii,,Bulb,1.2,4-8,,LM,SN,M,2,0,,Lilium superbum
18,Lilium henryi,Henry's lily,Bulb,1.8,5-8,M,LM,SN,M,2,0,,Lilium superbum
19,Lilium japonicum,Bamboo Lily,Bulb,1.0,4-8,,LM,SN,M,2,2,,Lilium superbum
20,Lilium japonicum platyfolium,Bamboo Lily,Bulb,1.0,4-8,,LM,SN,M,2,2,,Lilium superbum
21,Lilium kelleyanum,Kelley's Lily,Bulb,1.0,4-8,,LM,SN,M,2,0,,Lilium superbum
22,Lilium lancifolium,"Tiger Lily, Devil Lily",Bulb,1.2,4-8,M,LMH,SN,M,4,2,,Lilium superbum
23,Lilium leichtlinii,,Bulb,1.2,4-8,,LM,SN,M,2,0,,Lilium superbum
24,Lilium leichtlinii maximowiczii,,Bulb,1.2,4-8,,LM,SN,M,2,0,,Lilium superbum
25,Lilium longiflorum,"White Trumpet Lily, Easter lily, Trumpet Lily",Bulb,1.0,7-9,M,LM,SN,M,3,2,2.0,Lilium superbum
26,Lilium maculatum,,Bulb,0.6,4-8,,LM,SN,M,2,0,,Lilium superbum
27,Lilium martagon,"Turk's Cap Lily, Martagon lily",Bulb,1.2,4-8,M,LMH,SN,M,2,1,,Lilium superbum
28,Lilium medeoloides,,Bulb,0.8,4-8,,LM,SN,M,2,0,,Lilium superbum
29,Lilium monanthum,,Bulb,0.0,-,,LM,SN,M,2,0,,Lilium superbum
