,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Lactuca biennis,Tall Blue Lettuce,,0.0,-,,LMH,SN,M,0,1,,Lactuca sibirica
1,Lactuca canadensis,Canada Lettuce,Biennial,3.0,-,,LM,SN,M,2,3,,Lactuca sibirica
2,Lactuca capensis,,Perennial,0.5,-,,LM,SN,M,1,2,,Lactuca sibirica
3,Lactuca debilis,,Perennial,0.0,-,,LM,SN,M,3,2,,Lactuca sibirica
4,Lactuca formosana,,,0.0,-,,LM,SN,M,1,2,,Lactuca sibirica
5,Lactuca indica,Indian Lettuce,Perennial,1.2,-,,LM,SN,M,3,2,,Lactuca sibirica
6,Lactuca indica dracoglossa,,Annual/Biennial,1.0,-,,LM,SN,M,2,2,,Lactuca sibirica
7,Lactuca indica laciniata,,Perennial,1.2,-,,LM,SN,M,3,2,,Lactuca sibirica
8,Lactuca ludoviciana,"Western Wild Lettuce, Biannual lettuce",Biennial,1.2,0-0,,LM,SN,M,2,2,,Lactuca sibirica
9,Lactuca perennis,Perennial Lettuce,Perennial,0.6,5-9,,LM,N,DM,3,2,,Lactuca sibirica
10,Lactuca pulchella,Blue Lettuce,Perennial,1.0,-,,LM,SN,M,2,2,,Lactuca sibirica
11,Lactuca quercina,Wild Lettuce,Annual/Biennial,1.0,-,,LM,SN,M,2,3,,Lactuca sibirica
12,Lactuca raddeana,,Annual/Biennial,0.6,-,,LM,SN,M,2,2,,Lactuca sibirica
13,Lactuca sativa,"Lettuce, Garden lettuce",Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,1.0,Lactuca sibirica
14,Lactuca sativa angustana,Celtuce,Annual/Biennial,0.6,5-9,,LM,SN,M,3,3,2.0,Lactuca sibirica
15,Lactuca sativa capitata,Cabbage Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Lactuca sibirica
16,Lactuca sativa crispa,Cutting Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Lactuca sibirica
17,Lactuca sativa longifolia,Cos Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Lactuca sibirica
18,Lactuca serriola,Prickly Lettuce,Biennial,1.5,6-9,,LM,N,M,2,3,2.0,Lactuca sibirica
19,Lactuca triangulata,,Biennial/Perennial,1.0,-,,LM,SN,M,1,2,,Lactuca sibirica
